symbol,token,action,breakout_level,stop_loss,target1,target2,target3,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
SRF-EQ,3273,SELL,2943.0,2945.8,2688.0,2631.0,2431.0,2025-05-06,5,14715.0,2025-05-07,2945.8,SL,-2.800000000000182,-14.00000000000091,1
SBICARD-EQ,17971,BUY,893.0,866.2099999999999,947.0,964.0,1027.0,2025-05-05,16,14288.0,2025-05-07,866.2099999999999,SL,-26.790000000000077,-428.64000000000124,2
LT-EQ,11483,BUY,3376.0,3508.49,3834.0,3906.0,4160.0,2025-05-09,4,13504.0,2025-05-12,3508.49,SL,132.48999999999978,529.9599999999991,3
BIOCON-EQ,11373,BUY,339.5,331.546,344.4,350.0,359.9,2025-05-14,44,14938.0,2025-05-16,339.5,T1_SL,0.0,0.0,2
ATGL-EQ,6066,BUY,634.0,642.14,684.0,702.0,761.0,2025-05-13,23,14582.0,2025-05-22,658.05,MKT,24.049999999999955,553.149999999999,9
ASIANPAINT-EQ,236,SELL,2391.0,2362.82,2294.0,2156.0,1950.0,2025-05-07,6,14346.0,2025-05-12,2362.82,SL,28.179999999999836,169.07999999999902,5
MANKIND-EQ,15380,BUY,2479.0,2452.16,2528.0,2642.0,2680.0,2025-05-12,6,14874.0,2025-05-22,2452.16,SL,-26.840000000000146,-161.04000000000087,10
PERSISTENT-EQ,18365,SELL,5575.0,5742.25,5240.0,5172.0,4739.0,2025-05-22,2,11150.0,2025-05-23,5662.0,MKT,-87.0,-174.0,1
TORNTPHARM-EQ,3518,BUY,3314.0,3214.58,3327.0,3360.0,3513.0,2025-05-21,4,13256.0,2025-05-22,3214.58,SL,-99.42000000000007,-397.6800000000003,1
PRESTIGE-EQ,20302,BUY,1355.0,1401.65,1455.0,1532.0,1662.0,2025-05-12,11,14905.0,2025-05-13,1401.65,SL,46.65000000000009,513.150000000001,1
RVNL-EQ,9552,BUY,362.9,404.975,442.6,450.9,480.1,2025-05-14,41,14878.9,2025-05-15,404.975,SL,42.075000000000045,1725.0750000000019,1
IRFC-EQ,2029,BUY,126.1,135.99399999999997,140.2,148.6,161.2,2025-05-14,118,14879.8,2025-05-15,135.99399999999997,SL,9.893999999999977,1167.4919999999972,1
BHARTIARTL-EQ,10604,SELL,1817.0,1860.18,1698.0,1662.0,1535.0,2025-05-16,8,14536.0,2025-05-23,1831.7,MKT,-14.700000000000045,-117.60000000000036,7
ADANIENT-EQ,25,SELL,2484.0,2558.52,2484.0,2335.0,2285.0,2025-05-22,6,14904.0,2025-05-23,2540.0,MKT,-56.0,-336.0,1
ADANIPORTS-EQ,15083,SELL,1381.0,1422.43,1298.0,1293.0,1181.0,2025-05-21,10,13810.0,2025-05-23,1395.4,MKT,-14.400000000000091,-144.0000000000009,2
WIPRO-EQ,3787,SELL,248.1,255.543,238.8,236.0,233.2,2025-05-22,60,14886.0,2025-05-23,247.36,MKT,0.7399999999999807,44.39999999999884,1
EXIDEIND-EQ,676,BUY,378.6,383.538,395.4,419.1,454.7,2025-05-12,39,14765.400000000001,2025-05-13,383.538,SL,4.937999999999988,192.58199999999954,1
SBILIFE-EQ,21808,SELL,1751.0,1803.53,1693.0,1681.0,1646.0,2025-05-22,8,14008.0,2025-05-23,1803.53,SL,-52.52999999999997,-420.2399999999998,1
GLENMARK-EQ,7406,BUY,1439.0,1407.47,1471.0,1538.0,1669.0,2025-05-14,10,14390.0,2025-05-19,1439.0,T1_SL,0.0,0.0,5
BOSCHLTD-EQ,2181,BUY,30850.0,30385.25,33204.0,33831.0,36024.0,2025-05-12,0,0.0,2025-05-23,32130.0,MKT,1280.0,0.0,11
POLICYBZR-EQ,6656,SELL,1676.0,1726.28,1676.0,1578.0,1575.0,2025-05-20,8,13408.0,2025-05-21,1726.28,SL,-50.27999999999997,-402.2399999999998,1
NHPC-EQ,17400,BUY,87.44,85.4861,90.78,93.42,101.3,2025-05-16,171,14952.24,2025-05-23,85.97,MKT,-1.4699999999999989,-251.3699999999998,7
COALINDIA-EQ,20374,BUY,395.0,391.88,409.0,428.2,464.6,2025-05-12,37,14615.0,2025-05-22,395.0,T1_SL,0.0,0.0,10
MAXHEALTH-EQ,22377,SELL,1136.0,1164.93,1131.0,1090.0,1063.0,2025-05-21,13,14768.0,2025-05-22,1136.0,T1_SL,0.0,0.0,1
TCS-EQ,11536,SELL,3494.0,3598.82,3398.0,3366.0,3284.0,2025-05-22,4,13976.0,2025-05-23,3514.6,MKT,-20.59999999999991,-82.39999999999964,1
SUPREMEIND-EQ,3363,BUY,3535.0,3608.4,3943.0,4018.0,4278.0,2025-05-12,4,14140.0,2025-05-13,3608.4,SL,73.40000000000009,293.60000000000036,1
BANKBARODA-EQ,4668,BUY,235.3,235.516,257.4,259.4,279.2,2025-05-15,63,14823.900000000001,2025-05-16,235.516,SL,0.21599999999997976,13.607999999998725,1
AXISBANK-EQ,5900,SELL,1183.0,1218.49,1183.0,1148.0,1112.0,2025-05-22,12,14196.0,2025-05-26,1218.49,SL,-35.49000000000001,-425.8800000000001,4
NMDC-EQ,15332,BUY,67.24,68.72449999999999,75.1,76.52,81.48,2025-05-12,223,14994.519999999999,2025-05-13,68.72449999999999,SL,1.484499999999997,331.0434999999993,1
BAJAJFINSV-EQ,16675,BUY,2050.0,1988.5,2173.0,2214.0,2358.0,2025-05-12,7,14350.0,2025-05-26,2052.6,MKT,2.599999999999909,18.199999999999363,14
BAJFINANCE-EQ,317,BUY,9074.0,8938.55,9768.0,9952.0,10597.0,2025-05-13,1,9074.0,2025-05-26,9269.5,MKT,195.5,195.5,13
BHEL-EQ,438,BUY,232.4,235.904,257.8,262.7,279.7,2025-05-12,64,14873.6,2025-05-13,235.904,SL,3.5039999999999907,224.2559999999994,1
SAIL-EQ,2963,BUY,120.4,121.638,132.9,135.4,144.2,2025-05-14,124,14929.6,2025-05-16,121.638,SL,1.2379999999999995,153.51199999999994,2
PETRONET-EQ,11351,BUY,319.0,310.594,320.2,326.5,339.4,2025-05-15,47,14993.0,2025-05-16,319.0,T1_SL,0.0,0.0,1
NYKAA-EQ,6545,BUY,197.0,198.268,205.1,212.7,230.8,2025-05-12,76,14972.0,2025-05-13,198.268,SL,1.2680000000000007,96.36800000000005,1
HINDZINC-EQ,1424,BUY,436.4,431.65,467.9,471.7,512.0,2025-05-14,34,14837.599999999999,2025-05-26,450.95,MKT,14.550000000000011,494.7000000000004,12
LTF-EQ,24948,BUY,169.4,172.078,182.1,188.0,204.0,2025-05-12,88,14907.2,2025-05-13,172.078,SL,2.6779999999999973,235.66399999999976,1
