symbol,token,action,breakout_level,stop_loss,target1,target2,target3,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
TATACOMM-EQ,3721,BUY,1689.0,1643.18,1796.0,1830.0,1948.0,2025-05-26,5,8445.0,2025-06-05,1713.1,MKT,24.09999999999991,120.49999999999955,10
TATACONSUM-EQ,3432,SELL,1124.0,1139.18,1106.0,1098.0,1040.0,2025-05-22,8,8992.0,2025-05-23,1139.18,SL,-15.180000000000064,-121.44000000000051,1
M&M-EQ,2031,SELL,2980.0,3069.4,2955.0,2801.0,2533.0,2025-05-30,3,8940.0,2025-06-04,3069.4,SL,-89.40000000000009,-268.2000000000003,5
SBILIFE-EQ,21808,BUY,1798.0,1759.58,1814.0,1923.0,2086.0,2025-05-23,5,8990.0,2025-06-02,1798.0,T1_SL,0.0,0.0,10
COLPAL-EQ,15141,SELL,2531.0,2543.07,2321.0,2271.0,2099.0,2025-05-22,3,7593.0,2025-05-30,2455.9,MKT,75.09999999999991,225.29999999999973,8
DIXON-EQ,21690,SELL,15270.0,15475.75,14862.0,14148.0,12793.0,2025-05-22,0,0.0,2025-05-23,15270.0,T1_SL,0.0,0.0,1
IREDA-EQ,20261,BUY,175.2,170.332,175.6,178.5,186.1,2025-05-27,57,9986.4,2025-05-28,175.2,T1_SL,0.0,0.0,1
OFSS-EQ,10738,BUY,8608.0,8349.76,8608.0,8745.0,9124.0,2025-05-29,1,8608.0,2025-06-02,8349.76,SL,-258.2399999999998,-258.2399999999998,4
HDFCBANK-EQ,1333,SELL,1892.0,1948.76,1892.0,1778.0,1608.0,2025-05-09,5,9460.0,2025-05-12,1948.76,SL,-56.75999999999999,-283.79999999999995,3
APOLLOTYRE-EQ,163,BUY,490.8,482.769,504.0,510.0,528.0,2025-05-16,20,9816.0,2025-05-21,482.769,SL,-8.031000000000006,-160.62000000000012,5
ADANIENSOL-EQ,10217,BUY,891.0,864.27,935.0,942.0,944.0,2025-05-29,11,9801.0,2025-05-30,864.27,SL,-26.730000000000018,-294.0300000000002,1
POWERGRID-EQ,14977,SELL,301.2,299.21500000000003,286.6,273.1,246.9,2025-05-20,33,9939.6,2025-05-21,299.21500000000003,SL,1.9849999999999568,65.50499999999857,1
BAJAJFINSV-EQ,16675,BUY,2049.0,1987.53,2071.0,2172.0,2356.0,2025-05-26,4,8196.0,2025-06-03,1987.53,SL,-61.47000000000003,-245.8800000000001,8
POLYCAB-EQ,9590,SELL,5992.0,6159.400000000001,5621.0,5600.0,5456.0,2025-05-21,1,5992.0,2025-05-30,5991.0,MKT,1.0,1.0,9
UPL-EQ,11287,SELL,634.0,644.78,624.0,588.0,532.0,2025-05-20,15,9510.0,2025-05-21,634.0,T1_SL,0.0,0.0,1
POLICYBZR-EQ,6656,BUY,1780.0,1735.33,1854.0,1896.0,2057.0,2025-05-23,5,8900.0,2025-06-02,1757.7,MKT,-22.299999999999955,-111.49999999999977,10
MARUTI-EQ,10999,SELL,12594.0,12762.73,12115.0,11648.0,10532.0,2025-05-22,0,0.0,2025-05-30,12319.0,MKT,275.0,0.0,8
WIPRO-EQ,3787,BUY,246.9,239.493,257.9,261.7,283.9,2025-05-23,40,9876.0,2025-06-02,247.68,MKT,0.7800000000000011,31.200000000000045,10
GODREJCP-EQ,10099,BUY,1288.0,1249.36,1308.0,1365.0,1481.0,2025-05-26,7,9016.0,2025-05-29,1249.36,SL,-38.6400000000001,-270.4800000000007,3
BIOCON-EQ,11373,SELL,331.6,340.106,330.2,317.9,310.4,2025-05-22,30,9948.0,2025-05-23,331.6,T1_SL,0.0,0.0,1
TITAN-EQ,3506,SELL,3567.0,3674.01,3353.0,3246.0,3032.0,2025-05-22,2,7134.0,2025-05-30,3555.0,MKT,12.0,24.0,8
IGL-EQ,11262,BUY,210.0,203.7,216.2,216.4,220.5,2025-05-28,47,9870.0,2025-05-29,216.2,T2_SL,6.199999999999989,291.39999999999947,1
INFY-EQ,1594,SELL,1552.0,1598.56,1494.0,1465.0,1459.0,2025-05-22,6,9312.0,2025-05-29,1598.56,SL,-46.559999999999945,-279.3599999999997,7
AXISBANK-EQ,5900,BUY,1213.0,1176.61,1213.0,1219.0,1286.0,2025-05-26,8,9704.0,2025-05-27,1213.0,T1_SL,0.0,0.0,1
ADANIENT-EQ,25,BUY,2497.0,2422.09,2584.0,2647.0,2872.0,2025-05-23,4,9988.0,2025-06-02,2518.8,MKT,21.800000000000182,87.20000000000073,10
PREMIERENE-EQ,25049,BUY,998.0,1065.06,1164.0,1186.0,1263.0,2025-05-13,10,9980.0,2025-05-14,1065.06,SL,67.05999999999995,670.5999999999995,1
IOC-EQ,1624,BUY,146.0,141.62,149.8,154.8,167.9,2025-05-16,68,9928.0,2025-05-20,141.62,SL,-4.3799999999999955,-297.8399999999997,4
NHPC-EQ,17400,SELL,86.16,88.7448,80.99,76.25,73.24,2025-05-23,116,9994.56,2025-06-02,87.32,MKT,-1.1599999999999966,-134.5599999999996,10
