symbol,token,action,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
ICICIPRULI-EQ,18652,BUY,2025-04-16,17,9792.0,2025-04-17,587.82,SL,11.82000000000005,200.94000000000085,1
HDFCLIFE-EQ,467,BUY,2025-04-15,14,9618.0,2025-04-16,703.25,SL,16.25,227.5,1
VMM-EQ,27969,BUY,2025-04-17,91,9900.8,2025-04-25,108.8,T1_SL,0.0,0.0,8
SBILIFE-EQ,21808,BUY,2025-04-15,6,9234.0,2025-04-16,1590.8,SL,51.799999999999955,310.7999999999997,1
JIOFIN-EQ,18143,BUY,2025-04-15,42,9907.800000000001,2025-04-16,252.006,SL,16.105999999999995,676.4519999999998,1
ADANIENSOL-EQ,10217,BUY,2025-04-15,11,9317.0,2025-04-16,920.53,SL,73.52999999999997,808.8299999999997,1
LTIM-EQ,17818,BUY,2025-04-21,2,8660.0,2025-04-22,4373.73,SL,43.72999999999956,87.45999999999913,1
IOC-EQ,1624,BUY,2025-04-15,75,9945.0,2025-04-25,134.2,T2_SL,1.5999999999999943,119.99999999999957,10
GODREJPROP-EQ,17875,BUY,2025-04-21,4,8136.0,2025-04-22,2036.03,SL,2.0299999999999727,8.11999999999989,1
ESCORTS-EQ,958,BUY,2025-04-15,3,9660.0,2025-04-16,3322.25,SL,102.25,306.75,1
APOLLOTYRE-EQ,163,BUY,2025-04-16,22,9693.2,2025-04-17,452.99,SL,12.389999999999986,272.5799999999997,1
ATGL-EQ,6066,BUY,2025-04-15,16,9616.0,2025-04-16,603.34,SL,2.340000000000032,37.44000000000051,1
PAYTM-EQ,6705,BUY,2025-04-22,11,9790.0,2025-04-23,874.94,SL,-15.059999999999945,-165.6599999999994,1
PAGEIND-EQ,14413,BUY,2025-04-15,0,0.0,2025-04-16,44566.65,SL,-183.34999999999854,-0.0,1
ADANIPOWER-EQ,17388,BUY,2025-04-15,18,9756.0,2025-04-16,544.17,SL,2.169999999999959,39.05999999999926,1
DIVISLAB-EQ,10940,BUY,2025-04-15,1,5625.0,2025-04-16,5790.9,SL,165.89999999999964,165.89999999999964,1
DLF-EQ,14732,BUY,2025-04-17,15,9990.0,2025-04-25,666.0,T1_SL,0.0,0.0,8
TIINDIA-EQ,312,BUY,2025-04-23,3,8043.0,2025-04-24,2723.76,SL,42.76000000000022,128.28000000000065,1
SONACOMS-EQ,4684,BUY,2025-04-23,21,9786.0,2025-04-24,473.36,SL,7.360000000000014,154.5600000000003,1
ADANIGREEN-EQ,3563,BUY,2025-04-16,10,9420.0,2025-04-23,927.32,SL,-14.67999999999995,-146.7999999999995,7
