symbol,token,action,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
BOSCHLTD-EQ,2181,BUY,2025-05-23,0,0.0,2025-05-28,31229.15,SL,-850.8499999999985,-0.0,5
ADANIPORTS-EQ,15083,BUY,2025-05-28,7,9933.0,2025-05-29,1414.26,SL,-4.740000000000009,-33.180000000000064,1
HCLTECH-EQ,7229,BUY,2025-05-26,5,8355.0,2025-06-02,1620.87,SL,-50.13000000000011,-250.65000000000055,7
ULTRACEMCO-EQ,11532,BUY,2025-05-15,0,0.0,2025-05-23,11746.0,MKT,-21.0,-0.0,8
RELIANCE-EQ,2885,BUY,2025-05-26,6,8640.0,2025-06-02,1397.77,SL,-42.23000000000002,-253.3800000000001,7
MANKIND-EQ,15380,BUY,2025-05-30,4,10000.0,2025-06-02,2425.0,SL,-75.0,-300.0,3
IOC-EQ,1624,BUY,2025-05-16,68,9928.0,2025-05-20,141.62,SL,-4.3799999999999955,-297.8399999999997,4
BAJAJ-AUTO-EQ,16669,BUY,2025-05-26,1,8862.0,2025-05-28,8862.0,T1_SL,0.0,0.0,2
BAJAJFINSV-EQ,16675,BUY,2025-05-26,4,8196.0,2025-06-03,1987.53,SL,-61.47000000000003,-245.8800000000001,8
APOLLOHOSP-EQ,157,BUY,2025-05-26,1,7105.0,2025-05-29,6891.85,SL,-213.14999999999964,-213.14999999999964,3
PATANJALI-EQ,17029,BUY,2025-04-15,5,9525.0,2025-04-25,1967.0,MKT,62.0,310.0,10
BSE-EQ,19585,BUY,2025-04-15,5,9645.0,2025-04-25,2101.17,MKT,172.17000000000007,860.8500000000004,10
MAZDOCK-EQ,509,BUY,2025-04-28,3,8259.0,2025-05-02,3021.0,T2_SL,268.0,804.0,4
SOLARINDS-EQ,13332,BUY,2025-04-29,0,0.0,2025-05-05,12901.0,SL,-399.0,-0.0,6
APLAPOLLO-EQ,25780,BUY,2025-05-07,6,9882.0,2025-05-08,1697.5,SL,50.5,303.0,1
MARICO-EQ,4067,BUY,2025-05-12,13,9438.0,2025-05-14,726.0,T1_SL,0.0,0.0,2
ASHOKLEY-EQ,212,BUY,2025-05-12,43,9804.0,2025-05-13,234.061,SL,6.061000000000007,260.6230000000003,1
HDFCLIFE-EQ,467,BUY,2025-05-13,13,9581.0,2025-05-14,739.14,SL,2.1399999999999864,27.819999999999823,1
ALKEM-EQ,11703,BUY,2025-05-13,1,5066.0,2025-05-14,5160.4,SL,94.39999999999964,94.39999999999964,1
CGPOWER-EQ,760,BUY,2025-05-13,15,9750.0,2025-05-14,682.88,SL,32.879999999999995,493.19999999999993,1
BDL-EQ,2144,BUY,2025-05-13,6,9660.0,2025-05-16,1851.0,T3,241.0,1446.0,3
ABFRL-EQ,30108,BUY,2025-05-14,100,9960.0,2025-05-15,100.492,SL,0.8920000000000101,89.20000000000101,1
MFSL-EQ,2142,BUY,2025-05-14,7,9205.0,2025-05-23,1470.0,MKT,155.0,1085.0,9
SHREECEM-EQ,3103,BUY,2025-05-14,0,0.0,2025-05-23,31495.0,MKT,1050.0,0.0,9
BAJAJHLDNG-EQ,305,BUY,2025-05-15,0,0.0,2025-05-20,13509.0,T2_SL,1319.0,0.0,5
COLPAL-EQ,15141,BUY,2025-05-15,3,7941.0,2025-05-20,2647.0,T1_SL,0.0,0.0,5
PAGEIND-EQ,14413,BUY,2025-05-16,0,0.0,2025-05-26,47230.0,MKT,-135.0,-0.0,10
ESCORTS-EQ,958,BUY,2025-05-16,2,7138.0,2025-05-22,3461.93,SL,-107.07000000000016,-214.14000000000033,6
DIXON-EQ,21690,BUY,2025-05-16,0,0.0,2025-05-21,16529.0,T1_SL,0.0,0.0,5
DIVISLAB-EQ,10940,BUY,2025-05-16,1,6282.0,2025-05-19,6659.0,T3,377.0,377.0,3
TVSMOTOR-EQ,8479,BUY,2025-05-16,3,8385.0,2025-05-20,2768.38,SL,-26.61999999999989,-79.85999999999967,4
APOLLOTYRE-EQ,163,BUY,2025-05-16,20,9816.0,2025-05-21,482.769,SL,-8.031000000000006,-160.62000000000012,5
BANKBARODA-EQ,4668,BUY,2025-05-26,41,9999.9,2025-05-27,243.955,SL,0.05500000000000682,2.2550000000002797,1
NYKAA-EQ,6545,BUY,2025-05-26,48,9820.8,2025-06-02,204.6,T1_SL,0.0,0.0,7
HINDPETRO-EQ,1406,BUY,2025-05-26,24,9876.0,2025-05-28,411.5,T1_SL,0.0,0.0,2
KALYANKJIL-EQ,2955,BUY,2025-05-27,17,9758.0,2025-06-02,556.78,SL,-17.220000000000027,-292.74000000000046,6
ASIANPAINT-EQ,236,BUY,2025-05-27,4,9352.0,2025-05-30,2267.86,SL,-70.13999999999987,-280.5599999999995,3
OBEROIRLTY-EQ,20242,BUY,2025-05-27,5,8800.0,2025-05-28,1771.22,SL,11.220000000000027,56.100000000000136,1
HUDCO-EQ,20825,BUY,2025-05-27,41,9831.800000000001,2025-05-28,238.814,SL,-0.9860000000000184,-40.426000000000755,1
SBICARD-EQ,17971,BUY,2025-05-27,10,9160.0,2025-06-02,916.0,T1_SL,0.0,0.0,6
M&MFIN-EQ,13285,BUY,2025-05-28,38,9845.800000000001,2025-06-06,275.55,MKT,16.44999999999999,625.0999999999996,9
ICICIPRULI-EQ,18652,BUY,2025-05-28,15,9840.0,2025-06-03,642.14,SL,-13.860000000000014,-207.9000000000002,6
MRF-EQ,2277,BUY,2025-05-29,0,0.0,2025-05-30,138976.75,SL,-4298.25,-0.0,1
COCHINSHIP-EQ,21508,BUY,2025-05-29,5,9875.0,2025-05-30,1988.5,SL,13.5,67.5,1
TIINDIA-EQ,312,BUY,2025-05-30,3,9237.0,2025-06-09,3039.6,MKT,-39.40000000000009,-118.20000000000027,10
MAHABANK-EQ,11377,BUY,2025-05-30,193,9958.800000000001,2025-06-09,56.85,MKT,5.25,1013.25,10
INDIANB-EQ,14309,BUY,2025-05-30,16,9792.0,2025-06-04,629.0,T2_SL,17.0,272.0,5
BANKINDIA-EQ,4745,BUY,2025-05-30,83,9943.4,2025-06-02,123.675,SL,3.875,321.625,3
YESBANK-EQ,11915,BUY,2025-06-02,461,9980.65,2025-06-03,21.0005,SL,-0.6494999999999997,-299.41949999999986,1
ABCAPITAL-EQ,21614,BUY,2025-06-02,44,9860.4,2025-06-03,239.396,SL,15.295999999999992,673.0239999999997,1
ETERNAL-EQ,5097,BUY,2025-06-02,41,9868.699999999999,2025-06-03,252.394,SL,11.694000000000017,479.4540000000007,1
INDHOTEL-EQ,1512,BUY,2025-06-02,12,9312.0,2025-06-03,759.51,SL,-16.49000000000001,-197.8800000000001,1
