date,time,symbol,token,action,breakout_level,stop_loss,target1,target2,target3,rsi,macd,volume,level_score,level_age,close
29-04-2025,09:15:00,ABFRL-EQ,30108,BUY,100.7,97.679,100.7,106.7,115.8,66.77014393,0.034007121,759915,,,101.02
14-05-2025,09:25:00,ABFRL-EQ,30108,BUY,99.6,96.612,101.5,105.6,114.5,73.93414009,0.355378263,833235,,,100.57
16-05-2025,09:25:00,ABFRL-EQ,30108,BUY,102,98.94,102,108.1,117.3,69.03655184,0.217569614,459339,,,102.34
19-05-2025,10:10:00,ABFRL-EQ,30108,BUY,103.6,100.492,103.6,109.8,119.1,70.17494144,1.308929692,2272166,,,105.98
17-04-2025,12:30:00,ACC-EQ,22,BUY,2063,2001.11,2187,2228,2372,61.68737473,0.565010155,3029,,,2063
21-04-2025,15:10:00,ACC-EQ,22,BUY,2066,2004.02,2190,2231,2376,56.12773627,-0.140095661,3668,,,2089.8
24-04-2025,13:30:00,ACC-EQ,22,BUY,2104,2040.88,2104,2230,2420,66.37897753,3.548852857,11414,,,2107.6
16-05-2025,09:15:00,ACC-EQ,22,BUY,1888,1831.36,2001,2120,2171,69.32622207,2.010477725,35738,,,1895.6
19-05-2025,10:00:00,ACC-EQ,22,BUY,1934,1875.98,2050,2120,2224,66.70612822,2.01914504,19553,,,1942
20-05-2025,12:45:00,ACC-EQ,22,BUY,1949,1890.53,2066,2120,2241,57.81421261,1.500412624,10121,,,1950.1
23-05-2025,09:15:00,ACC-EQ,22,BUY,1943,1884.71,1955,2060,2234,59.76612152,2.959805317,17292,,,1943
09-06-2025,09:20:00,ACC-EQ,22,BUY,1913,1855.61,1973,2028,2200,69.16731515,1.371070812,7798,,,1913.5
10-06-2025,10:40:00,ACC-EQ,22,BUY,1916,1858.52,1916,1973,2031,65.28412813,2.732696336,20038,,,1917
15-04-2025,11:00:00,ADANIENSOL-EQ,10217,BUY,847,821.59,898,901,974,60.66579883,2.595725057,105738,,,873.5
17-04-2025,09:15:00,ADANIENSOL-EQ,10217,BUY,901,873.97,955,973,1036,69.58678038,0.720165265,100483,,,901.55
21-04-2025,14:20:00,ADANIENSOL-EQ,10217,BUY,937,908.89,993,1012,1078,63.01993751,0.486877757,31209,,,941.5
24-04-2025,10:00:00,ADANIENSOL-EQ,10217,BUY,949,920.53,1006,1025,1091,71.59493725,6.174611769,93083,,,952.65
02-05-2025,09:15:00,ADANIENSOL-EQ,10217,BUY,901,873.97,955,981,1036,62.68100974,-1.641236392,69771,,,913.6
15-05-2025,15:20:00,ADANIENSOL-EQ,10217,BUY,909,881.73,964,981,981,69.08395943,4.276959945,129451,,,910.2
29-05-2025,13:10:00,ADANIENSOL-EQ,10217,BUY,891,864.27,935,942,944,74.70787268,4.548057726,57230,,,894.25
