symbol,token,action,breakout_level,stop_loss,target1,target2,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
MAZDOCK-EQ,509,BUY,2697.7,2616.769,2983.932,3177.335,2025-04-16,12,32372.399999999998,2025-04-25,2616.769,SL,-80.93100000000004,-971.1720000000005,9
RPOWER-EQ,15259,BUY,42.62,41.34139999999999,48.4812,51.6235,2025-04-17,821,34991.02,2025-04-25,41.34139999999999,SL,-1.2786000000000044,-1049.7306000000035,8
RPOWER-EQ,15259,SELL,40.72,41.9416,35.11,32.8185,2025-04-30,859,34978.479999999996,2025-05-09,38.65,MKT,2.0700000000000003,1778.1300000000003,9
RPOWER-EQ,15259,BUY,44.2,42.874,46.85,52.17549999999999,2025-05-14,791,34962.200000000004,2025-05-23,52.17549999999999,T2,7.97549999999999,6308.620499999992,9
SHREECEM-EQ,3103,SELL,29390.0,29531.65,31415.0,35546.5,2025-05-05,1,29390.0,2025-05-06,29531.65,SL,-141.65000000000146,-141.65000000000146,1
MAZDOCK-EQ,509,BUY,2753.45,2670.8465,3078.0,3277.4999999999995,2025-04-28,12,33041.399999999994,2025-05-08,2819.9,MKT,66.45000000000027,797.4000000000033,10
RPOWER-EQ,15259,BUY,53.1,51.507,57.348000000000006,61.065,2025-05-26,659,34992.9,2025-05-27,51.507,SL,-1.5930000000000035,-1049.7870000000023,1
SHREECEM-EQ,3103,SELL,30760.0,31682.8,28720.0,25058.0,2025-05-28,1,30760.0,2025-06-06,29600.0,MKT,1160.0,1160.0,9
